CNPJ;RAZAO SOCIAL;ENDERECO;BAIRRO;CIDADE;ESTADO;PAIS;BANDEIRA;GASOLINA COMUM;GASOLINA ADITIVADA;ETANOL;DIESEL;GNV;LATITUDE;LONGITUDE;DATA COLETA
15.288.292/0001-87;FBX COMERCIO DE COMBUSTIVEIS LTDA - ME;AVENIDA WENCESLAU ESCOBAR, 2226;TRISTEZA;PORTO ALEGRE;RS;Brasil;IPIRANGA;4,44;4,76;4,06;3,50;3,15;-301.079.802;-512.550.824;2019-05-06
17.634.968/0001-72;POSTO AVENIDA IPIRANGA;AV. IPIRANGA, 4850;JARDIM BOTANICO;PORTO ALEGRE;RS;Brasil;IPIRANGA;4,60;4,80;4,26;3,70;3,15;-300.546.443;-511.942.788;2019-05-06
20.634.565/0001-38 ;LCB ABASTECEDORA DE COMBUSTIVEIS LTDA;AVENIDA EDGAR PIRES DE CASTRO, 3020;ABERTA DOS MORROS;PORTO ALEGRE;RS;Brasil;PETROBRAS;4,80;4,76;4,06;3,50;3,15;-301.577.185;-511.638.326;2019-05-06
57.738.809/0001-32;GARAGEM RIO BRANCO LTDA;RUA CABRAL, 60/80 0;BOM FIM;PORTO ALEGRE;RS;Brasil;IPIRANGA;4,90;4,76;4,06;3,50;3,15;-300.329.544;-512.099.303;2019-05-06
72.088.610/0001-08;COMERCIAL DE COMBUSTIVEIS LAMI LTDA;AVENIDA BENTO GONCALVES, 9023;AGRONOMIA;PORTO ALEGRE;RS;Brasil;MEGAPETRO;4,44;4,76;4,06;3,40;3,15;-300.772.352;-511.299.504;2019-05-06
88.977.681/0001-93;LUCIO RENE BENTZ & CIA. LTDA;ESTRADA DO VAREJAO, 244 0;BELEM NOVO;PORTO ALEGRE;RS;Brasil;PETROBRAS;4,44;4,76;4,06;3,60;3,15;-302.197.704;-511.004.443;2019-05-06
92.576.073/0001-44 ;GARAGEM FORMULA 3 LTDA;RUA JOAO WALLIG, 735;PASSO D AREIA;PORTO ALEGRE;RS;Brasil;IPIRANGA;4,44;4,76;4,06;3,50;3,15;-300.187.674;-511.665.242;2019-05-06
92.692.185/0001-60;GARAGEM LAITANO LTDA;RUA SANTANA, 608;SANTANA;PORTO ALEGRE;RS;Brasil;RAIZEN;4,70;4,76;4,06;3,50;3,15;-300.435.807;-512.127.829;2019-05-06
93.000.586/0001-75;GARAGE SIGARAN LTDA;RUA BARBEDO, 504 0;MENINO DEUS;PORTO ALEGRE;RS;Brasil;PETROBRAS;4,65;4,76;4,06;3,50;3,15;-300.569.525;-512.310.487;2019-05-06
93.013.845/0001-00;POSTO DE COMBUSTIVEIS ANDINO LTDA;AVENIDA BENTO GONCALVES, 1960;PARTENON;PORTO ALEGRE;RS;Brasil;IPIRANGA;4,70;4,76;4,06;3,50;3,15;-300.580.749;-511.968.638;2019-05-06
94.154.226/0001-90;POSTO DE COMBUSTIVEIS PERNAMBUCO LTDA;AVENIDA PERNAMBUCO, 1864;SAO GERALDO;PORTO ALEGRE;RS;Brasil;BRANCA;4,44;4,76;4,06;3,50;3,15;-300.091.108;-512.027.487;2019-05-06
